COD;DESC;COMP;LARG;PESO
40279;ISOPAINEL ZP150 - 4800MM;4,8;1,15;5,52
40280;ISOPAINEL ZP150 - 4900MM;4,9;1,15;5,635
40281;ISOPAINEL ZP150 - 5000MM;5;1,15;5,75
40282;ISOPAINEL ZP150 - 5100MM;5,1;1,15;5,865
40283;ISOPAINEL ZP150 - 5200MM;5,2;1,15;5,98
40284;ISOPAINEL ZP150 - 5300MM;5,3;1,15;6,095
40285;ISOPAINEL ZP150 - 5400MM;5,4;1,15;6,21
40286;ISOPAINEL ZP150 - 5500MM;5,5;1,15;6,325
40287;ISOPAINEL ZP150 - 5600MM;5,6;1,15;6,44
40288;ISOPAINEL ZP150 - 5700MM;5,7;1,15;6,555
40289;ISOPAINEL ZP150 - 5800MM;5,8;1,15;6,67
40290;ISOPAINEL ZP150 - 5900MM;5,9;1,15;6,785
40291;ISOPAINEL ZP150 - 6000MM;6;1,15;6,9
40292;ISOPAINEL ZP200 M2;1;1;1
40293;ISOPAINEL ZP200 - 1200MM;1,2;1,15;1,38
40294;ISOPAINEL ZP200 - 1300MM;1,3;1,15;1,495
40295;ISOPAINEL ZP200 - 1400MM;1,4;1,15;1,61
40296;ISOPAINEL ZP200 - 1500MM;1,5;1,15;1,725
40297;ISOPAINEL ZP200 - 1600MM;1,6;1,15;1,84
40298;ISOPAINEL ZP200 - 1700MM;1,7;1,15;1,955
40299;ISOPAINEL ZP200 - 1800MM;1,8;1,15;2,07
40300;ISOPAINEL ZP200 - 1900MM;1,9;1,15;2,185
40301;ISOPAINEL ZP200 - 2000MM;2;1,15;2,3
40302;ISOPAINEL ZP200 - 2100MM;2,1;1,15;2,415
40303;ISOPAINEL ZP200 - 2200MM;2,2;1,15;2,53
40304;ISOPAINEL ZP200 - 2300MM;2,3;1,15;2,645
40305;ISOPAINEL ZP200 - 2400MM;2,4;1,15;2,76
40306;ISOPAINEL ZP200 - 2500MM;2,5;1,15;2,875
40307;ISOPAINEL ZP200 - 2600MM;2,6;1,15;2,99
40308;ISOPAINEL ZP200 - 2700MM;2,7;1,15;3,105
40309;ISOPAINEL ZP200 - 2800MM;2,8;1,15;3,22
40310;ISOPAINEL ZP200 - 2900MM;2,9;1,15;3,335
40311;ISOPAINEL ZP200 - 3000MM;3;1,15;3,45
40312;ISOPAINEL ZP200 - 3100MM;3,1;1,15;3,565
40313;ISOPAINEL ZP200 - 3200MM;3,2;1,15;3,68
40314;ISOPAINEL ZP200 - 3300MM;3,3;1,15;3,795
40315;ISOPAINEL ZP200 - 3400MM;3,4;1,15;3,91
40316;ISOPAINEL ZP200 - 3500MM;3,5;1,15;4,025
40317;ISOPAINEL ZP200 - 3600MM;3,6;1,15;4,14
40318;ISOPAINEL ZP200 - 3700MM;3,7;1,15;4,255
40319;ISOPAINEL ZP200 - 3800MM;3,8;1,15;4,37
40320;ISOPAINEL ZP200 - 3900MM;3,9;1,15;4,485
40321;ISOPAINEL ZP200 - 4000MM;4;1,15;4,6
40322;ISOPAINEL ZP200 - 4100MM;4,1;1,15;4,715
40323;ISOPAINEL ZP200 - 4200MM;4,2;1,15;4,83
40324;ISOPAINEL ZP200 - 4300MM;4,3;1,15;4,945
40325;ISOPAINEL ZP200 - 4400MM;4,4;1,15;5,06
40326;ISOPAINEL ZP200 - 4500MM;4,5;1,15;5,175
40327;ISOPAINEL ZP200 - 4600MM;4,6;1,15;5,29
40328;ISOPAINEL ZP200 - 4700MM;4,7;1,15;5,405
40329;ISOPAINEL ZP200 - 4800MM;4,8;1,15;5,52
40330;ISOPAINEL ZP200 - 4900MM;4,9;1,15;5,635
40331;ISOPAINEL ZP200 - 5000MM;5;1,15;5,75
40332;ISOPAINEL ZP200 - 5100MM;5,1;1,15;5,865
40333;ISOPAINEL ZP200 - 5200MM;5,2;1,15;5,98
40334;ISOPAINEL ZP200 - 5300MM;5,3;1,15;6,095
40335;ISOPAINEL ZP200 - 5400MM;5,4;1,15;6,21
40336;ISOPAINEL ZP200 - 5500MM;5,5;1,15;6,325
40337;ISOPAINEL ZP200 - 5600MM;5,6;1,15;6,44
40338;ISOPAINEL ZP200 - 5700MM;5,7;1,15;6,555
40339;ISOPAINEL ZP200 - 5800MM;5,8;1,15;6,67
40340;ISOPAINEL ZP200 - 5900MM;5,9;1,15;6,785
40341;ISOPAINEL ZP200 - 6000MM;6;1,15;6,9
40742;ISOPAINEL ZP 50 M2;1;1;1
40743;ISOPAINEL ZP 50 - 2100MM;2,1;1,15;2,415
40744;ISOPAINEL ZP 50 - 2200MM;2,2;1,15;2,53
40745;ISOPAINEL ZP 50 - 2300MM;2,3;1,15;2,645
40746;ISOPAINEL ZP 50 - 2400MM;2,4;1,15;2,76
